Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2020,1,6,10,0,-3.4,-4.5,0,92.14,987,198,0.3
2020,1,6,11,0,-3.5,-4.4,0,93.36,987,168,0.3
2020,1,6,12,0,-3.6,-4.4,0,94.16,987,152,0.3
2020,1,6,13,0,-2.3,-3.7,26,90,987,159,0.2
2020,1,6,14,0,-0.6,-2.7,87,85.82,987,185,0.2
2020,1,6,15,0,0.2,-2,86,85.11,987,201,0.2
2020,1,6,16,0,0.5,-1.4,119,86.86,986,214,0.2
2020,1,6,17,0,0.7,-0.9,134,88.85,986,227,0.2
2020,1,6,18,0,0.9,-0.5,182,90.33,986,237,0.2
2020,1,6,19,0,1,-0.1,168,92.52,986,240,0.2
2020,1,6,20,0,0.3,-0.1,169,97.4,986,237,0.1
2020,1,6,21,0,-1.7,-1.7,46,100,987,244,0.1
2020,1,6,22,0,-1.3,-1.3,0,100,987,252,0.2
2020,1,6,23,0,-1.8,-2,0,98.9,988,256,0.2
2020,1,7,0,0,-2.7,-2.9,0,98.52,988,256,0.2
2020,1,7,1,0,-3.4,-3.6,0,98.49,988,251,0.2
2020,1,7,2,0,-3.7,-3.9,0,98.25,988,245,0.2
2020,1,7,3,0,-3.2,-3.8,0,95.92,988,244,0.2
2020,1,7,4,0,-2.4,-3.3,0,93.51,988,248,0.2
2020,1,7,5,0,-1.6,-2.6,0,92.7,988,253,0.3
2020,1,7,6,0,-1.3,-2.4,0,92.04,988,256,0.3
2020,1,7,7,0,-1.4,-2.5,0,92.31,988,258,0.3
2020,1,7,8,0,-1.6,-2.6,0,93.02,989,264,0.3
2020,1,7,9,0,-1.9,-2.8,0,93.51,989,269,0.3
2020,1,7,10,0,-2.5,-3.4,0,93.5,990,275,0.2
2020,1,7,11,0,-3.5,-4.5,0,92.9,990,279,0.2
2020,1,7,12,0,-4,-5,0,92.8,991,274,0.3
2020,1,7,13,0,-2,-4.1,55,85.5,991,260,0.2
2020,1,7,14,0,0.3,-3.7,225,74.61,992,258,0.2
2020,1,7,15,0,1.2,-3.7,290,69.59,991,265,0.1
2020,1,7,16,0,1.6,-3.7,356,67.74,990,264,0.1
2020,1,7,17,0,1.9,-3.5,442,67.46,990,253,0.1
2020,1,7,18,0,2,-3.2,328,68.68,989,245,0.1
2020,1,7,19,0,1.6,-1.6,248,79.4,989,222,0.2
2020,1,7,20,0,1,-3.7,107,70.85,989,154,0.5
2020,1,7,21,0,-0.7,-3.9,31,79.09,989,117,0.7
2020,1,7,22,0,-1.9,-3.1,0,91.76,988,109,0.3
2020,1,7,23,0,-2.1,-2.8,0,94.74,988,111,0.1
2020,1,8,0,0,-2,-2.7,0,94.84,987,102,0.1
2020,1,8,1,0,-2,-2.7,0,95.19,986,86,0.1
2020,1,8,2,0,-1.9,-2.5,0,95.58,985,78,0.1
2020,1,8,3,0,-2.1,-2.5,0,97.23,984,65,0.1
2020,1,8,4,0,-2.1,-2.5,0,97.13,983,35,0.2
2020,1,8,5,0,-2.2,-2.5,0,97.64,983,359,0.2
2020,1,8,6,0,-2.3,-2.6,0,97.67,983,331,0.2
2020,1,8,7,0,-2.6,-2.8,0,98.5,983,311,0.2
2020,1,8,8,0,-2.9,-3,0,98.94,983,297,0.2
2020,1,8,9,0,-2.9,-3.1,0,98.43,983,275,0.3
2020,1,8,10,0,-2.8,-3.1,0,97.9,983,251,0.2
2020,1,8,11,0,-2.9,-3.1,0,98.53,983,234,0.2
2020,1,8,12,0,-3.1,-3.3,0,98.67,983,228,0.2
2020,1,8,13,0,-1.7,-2.4,52,95.12,983,236,0.2
2020,1,8,14,0,-0.3,-1.6,209,90.88,983,242,0.2
2020,1,8,15,0,0.6,-1.2,346,87.56,983,249,0.3
2020,1,8,16,0,1.2,-1,424,85.26,982,254,0.3
2020,1,8,17,0,1.6,-1,447,83.15,981,257,0.3
2020,1,8,18,0,1.4,-0.9,348,84.74,982,261,0.3
2020,1,8,19,0,0.7,-0.8,181,89.64,983,268,0.3
2020,1,8,20,0,-0.2,-1.6,94,90.28,985,280,0.4
2020,1,8,21,0,-1.3,-3.6,59,84.63,987,287,0.5
2020,1,8,22,0,-2.3,-5.3,0,79.73,989,287,0.5
2020,1,8,23,0,-3,-6,0,79.72,991,287,0.5
2020,1,9,0,0,-3.6,-6.7,0,79.31,992,288,0.5
2020,1,9,1,0,-4.2,-7.5,0,77.63,994,290,0.5
2020,1,9,2,0,-4.8,-8.3,0,76.19,995,292,0.5
2020,1,9,3,0,-5.4,-9,0,75.84,996,293,0.4
2020,1,9,4,0,-6,-9.6,0,75.48,997,295,0.4
2020,1,9,5,0,-6.6,-10.5,0,73.73,998,298,0.4
2020,1,9,6,0,-7.2,-11.5,0,71.15,1000,303,0.5
2020,1,9,7,0,-7.9,-12.4,0,70.21,1002,307,0.5
2020,1,9,8,0,-8.7,-13.1,0,70.6,1003,309,0.4
2020,1,9,9,0,-9.6,-13.5,0,72.92,1005,309,0.4
2020,1,9,10,0,-10.4,-14.2,0,73.95,1006,309,0.3
2020,1,9,11,0,-11.1,-14.8,0,74.22,1008,309,0.3
2020,1,9,12,0,-11.6,-15.2,0,74.61,1009,308,0.4
2020,1,9,13,0,-10.2,-14.8,63,69.3,1011,310,0.3
2020,1,9,14,0,-8.5,-14.2,240,63.55,1012,311,0.3
2020,1,9,15,0,-6.9,-13.6,365,58.88,1012,313,0.3
2020,1,9,16,0,-5.5,-12.8,446,56.4,1012,316,0.3
2020,1,9,17,0,-4.3,-11.9,465,55.24,1012,315,0.3
2020,1,9,18,0,-3.6,-11.2,432,55.72,1012,316,0.3
2020,1,9,19,0,-3.5,-10.7,341,57.4,1012,321,0.2
2020,1,9,20,0,-4.3,-9.9,174,65.13,1012,319,0.2
2020,1,9,21,0,-6.1,-9.6,58,76.26,1012,319,0.5
2020,1,9,22,0,-5.9,-10.7,0,68.83,1013,327,0.6
2020,1,9,23,0,-5.3,-11.4,0,62.19,1013,353,0.4
2020,1,10,0,0,-5.5,-9.8,0,71.76,1013,106,0.4
2020,1,10,1,0,-6.2,-8.5,0,84,1013,139,0.3
2020,1,10,2,0,-6.2,-8.6,0,83.16,1013,156,0.1
2020,1,10,3,0,-6.1,-8.7,0,81.8,1012,163,0.2
2020,1,10,4,0,-5.8,-8.3,0,82.44,1011,171,0.2
2020,1,10,5,0,-5.5,-7.7,0,84.74,1010,178,0.2
2020,1,10,6,0,-5.1,-6.9,0,87.37,1010,182,0.2
2020,1,10,7,0,-4.5,-6,0,89.19,1009,186,0.2
2020,1,10,8,0,-4,-5.1,0,91.82,1008,188,0.2
2020,1,10,9,0,-3.5,-4.2,0,94.58,1008,189,0.2
2020,1,10,10,0,-3,-3.4,0,97.27,1007,191,0.2
2020,1,10,11,0,-2.4,-2.5,0,98.9,1007,195,0.2
2020,1,10,12,0,-1.8,-1.8,0,99.87,1007,199,0.2
2020,1,10,13,0,-0.5,-0.8,46,97.9,1007,206,0.3
2020,1,10,14,0,1.6,0.5,213,92.58,1007,220,0.4
2020,1,10,15,0,3.1,1.6,107,89.66,1006,223,0.4
2020,1,10,16,0,3.8,2.4,80,90.5,1005,223,0.4
2020,1,10,17,0,4.2,3.2,43,93.35,1004,224,0.4
2020,1,10,18,0,4.4,3.9,20,96.4,1003,225,0.4
2020,1,10,19,0,4.4,4.3,12,99.39,1003,224,0.4
2020,1,10,20,0,4.2,4.2,63,100,1003,224,0.3
2020,1,10,21,0,4,4,42,100,1003,225,0.3
2020,1,10,22,0,3.6,3.6,0,100,1003,224,0.3
2020,1,10,23,0,3.3,3.3,0,100,1003,219,0.2
2020,1,11,0,0,3.4,3.4,0,100,1004,217,0.2
2020,1,11,1,0,3.4,3.4,0,100,1004,218,0.2
2020,1,11,2,0,3.5,3.5,0,100,1004,219,0.2
2020,1,11,3,0,3.6,3.6,0,100,1003,215,0.2
2020,1,11,4,0,3.5,3.5,0,100,1003,204,0.2
2020,1,11,5,0,3.6,3.6,0,100,1002,202,0.2
2020,1,11,6,0,3.3,3.3,0,100,1003,204,0.2
2020,1,11,7,0,3.7,3.7,0,100,1003,207,0.2
2020,1,11,8,0,3.6,3.6,0,100,1002,200,0.2
2020,1,11,9,0,4,4,0,100,1001,201,0.2
2020,1,11,10,0,4.2,4.2,0,100,1001,201,0.2
2020,1,11,11,0,4.9,4.9,0,100,1000,202,0.3
2020,1,11,12,0,6.4,6.4,0,100,999,206,0.4
2020,1,11,13,0,7.3,7.3,26,100,999,207,0.4
2020,1,11,14,0,8.9,8.9,75,100,998,211,0.4
2020,1,11,15,0,11.1,10.9,192,98.45,997,212,0.5
2020,1,11,16,0,12.8,11.8,364,93.37,996,211,0.5
2020,1,11,17,0,13.8,12,300,88.64,994,212,0.6
2020,1,11,18,0,13.9,11.9,391,87.77,993,212,0.6
2020,1,11,19,0,13.6,11.8,245,89.13,993,211,0.6
2020,1,11,20,0,12.9,11.7,126,92.59,992,210,0.5
2020,1,11,21,0,12.1,11.5,29,96,992,208,0.5
2020,1,11,22,0,11.6,11.3,0,97.94,992,207,0.5
2020,1,11,23,0,11.3,11.2,0,99.11,991,204,0.5
2020,1,12,0,0,11.4,11.2,0,98.99,991,207,0.5
2020,1,12,1,0,11.7,11.6,0,99.16,991,211,0.6
2020,1,12,2,0,12.1,12,0,99.13,990,211,0.6
2020,1,12,3,0,12.4,12.3,0,99.27,990,210,0.6
2020,1,12,4,0,12.5,12.4,0,99.66,989,206,0.6
2020,1,12,5,0,12.6,12.5,0,99.66,987,204,0.6
2020,1,12,6,0,12.8,12.8,0,100,987,205,0.6
2020,1,12,7,0,13.2,13.1,0,99.48,987,205,0.6
2020,1,12,8,0,13.4,13.3,0,99.58,986,201,0.7
2020,1,12,9,0,13.6,13.5,0,99.26,984,199,0.7
2020,1,12,10,0,13.8,13.7,0,99.35,982,197,0.7
2020,1,12,11,0,14.4,14.1,0,97.87,981,203,0.8
2020,1,12,12,0,14.9,14.5,0,97.35,982,220,0.8
2020,1,12,13,0,15,14.4,19,96.4,983,234,0.6
2020,1,12,14,0,15.5,13.3,63,86.88,985,245,0.6
2020,1,12,15,0,15.6,10.8,256,73.03,986,251,0.6
2020,1,12,16,0,15.6,10,357,69.35,986,252,0.6
2020,1,12,17,0,15.3,9.8,452,69.6,987,258,0.6
2020,1,12,18,0,14.5,9,423,69.75,988,270,0.6
2020,1,12,19,0,12.7,7.6,341,70.99,990,284,0.5
